Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CAPPM_Adapter_Regression_POC,,,2018-02-13 09:46:24,2018-02-13 09:47:29,1m - 5.081s,FAILED
,,,,,,
Test Cases/Main Test Cases/LoginCAPPM,,Login to CA PPM :\n\nSteps:\n1.Enter the URL\n2.Give Username and Password\n\nExpected Result:\nCA PPM Home Page is displayed,2018-02-13 09:46:25,2018-02-13 09:47:11,45.509s,FAILED
callTestCase,,,2018-02-13 09:46:27,2018-02-13 09:46:29,2.288s,PASSED
callTestCase,,,2018-02-13 09:46:29,2018-02-13 09:46:34,5.344s,PASSED
newpackage.newkeyword.keywordName,,,2018-02-13 09:46:34,2018-02-13 09:46:36,1.613s,PASSED
Statement - extent1 = extent,,,2018-02-13 09:46:36,2018-02-13 09:46:36,0.002s,PASSED
Statement - extentTest1 = test,,,2018-02-13 09:46:36,2018-02-13 09:46:36,0.002s,PASSED
"Statement - extentTest1 = extent1.startTest(""LoginPage TestCase"")",,,2018-02-13 09:46:36,2018-02-13 09:46:36,0.006s,PASSED
openBrowser,,,2018-02-13 09:46:36,2018-02-13 09:46:53,16.517s,PASSED
maximizeWindow,,,2018-02-13 09:46:53,2018-02-13 09:46:59,6.050s,PASSED
navigateToUrl,,,2018-02-13 09:46:59,2018-02-13 09:47:07,8.062s,FAILED
"Statement - extentTest1.log(INFO, ""Browser Launched"")",,,2018-02-13 09:47:07,2018-02-13 09:47:07,0.037s,PASSED
"Statement - username = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Login/input_userName), 3)",,,2018-02-13 09:47:07,2018-02-13 09:47:11,4.119s,PASSED
,,,,,,
Test Cases/Main Test Cases/ValidationFields,,,2018-02-13 09:47:11,2018-02-13 09:47:16,5.257s,ERROR
Statement - extent1 = extent,,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.002s,PASSED
Statement - extentTest1 = test,,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""Validation Fields TestCase"")",,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
Statement - myData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FieldsValidation),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.194s,PASSED
Statement - println(myData.getAllData()),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
Statement - row = myData.getRowNumbers(),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
Statement - list_first_column = new java.util.ArrayList(),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.000s,PASSED
Statement - list_second_column = new java.util.ArrayList(),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.000s,PASSED
Statement - excel_field_names = new java.util.LinkedHashMap(),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
"Statement - For ([i = 1, i <= row, (i++)])",,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.040s,PASSED
Statement - println(list_first_column),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.000s,PASSED
Statement - println(list_second_column),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
Statement - println(excel_field_names),,,2018-02-13 09:47:12,2018-02-13 09:47:12,0.001s,PASSED
"Statement - home_page = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Job Type CA PPM Adapte/span_Home), 3)",,,2018-02-13 09:47:12,2018-02-13 09:47:16,4.042s,PASSED
,,,,,,
Test Cases/Main Test Cases/AddBussinessRule,,,2018-02-13 09:47:16,2018-02-13 09:47:21,4.587s,ERROR
Statement - extent1 = extent,,,2018-02-13 09:47:17,2018-02-13 09:47:17,0.001s,PASSED
Statement - extentTest1 = test,,,2018-02-13 09:47:17,2018-02-13 09:47:17,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""Add BussinessRules TestCase"")",,,2018-02-13 09:47:17,2018-02-13 09:47:17,0.001s,PASSED
